,rsi_adx_atr,Buy & Hold
Start,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
End,2026-02-11 07:00:00+00:00,2026-02-11 07:00:00+00:00
Total Return [%],3776.3483529886744,42.94644159739923
Annualized Return [%],143.33,9.08
Max Drawdown [%],21.81246326808014,67.39257810463717
Sharpe Ratio,3.0585006671904256,0.42623153803207464
Sortino Ratio,5.03335622047242,0.6001444990061982
Calmar Ratio,6.563830278862452,0.13456551154161372
Win Rate [%],32.64583653994151,
Profit Factor,1.4927963013671641,
Total Trades,6498,1
Avg Winning Trade [%],0.7467657380560476,
Avg Losing Trade [%],-0.6124266940776109,
Max Drawdown Duration,207 days 09:00:00,653 days 19:00:00
Expectancy,58.73583929731441,
Alpha [%],3733.401911391275,0.0
