period,oversold,overbought,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades
18,25,65,-74.64400652828097,-1.4990730870972986,75.21044517849903,51.52838427947598,458
18,25,75,-74.64400652828097,-1.4990730870972986,75.21044517849903,51.52838427947598,458
18,25,70,-74.64400652828097,-1.4990730870972986,75.21044517849903,51.52838427947598,458
14,25,65,-84.09307353187914,-1.7169039848072214,85.2688503334557,51.775956284153004,732
14,25,75,-84.09307353187914,-1.7169039848072214,85.2688503334557,51.775956284153004,732
14,25,70,-84.09307353187914,-1.7169039848072214,85.2688503334557,51.775956284153004,732
16,25,75,-84.91893252696217,-1.9362019185930224,85.25583510239481,50.0,560
16,25,65,-84.91893252696217,-1.9362019185930224,85.25583510239481,50.0,560
16,25,70,-84.91893252696217,-1.9362019185930224,85.25583510239481,50.0,560
18,30,65,-89.32332917974438,-1.894703604615234,90.01803815830517,51.06382978723404,799
18,30,70,-89.32332917974438,-1.894703604615234,90.01803815830517,51.06382978723404,799
18,30,75,-89.32332917974438,-1.894703604615234,90.01803815830517,51.06382978723404,799
12,25,70,-89.51177325059041,-2.0424932828751756,90.32264123488987,51.67785234899329,894
12,25,75,-89.51177325059041,-2.0424932828751756,90.32264123488987,51.67785234899329,894
12,25,65,-89.51177325059041,-2.0424932828751756,90.32264123488987,51.67785234899329,894
16,30,75,-92.72930971969868,-2.1209143176236536,93.15563422706089,51.03373231773667,919
16,30,70,-92.72930971969868,-2.1209143176236536,93.15563422706089,51.03373231773667,919
16,30,65,-92.72930971969868,-2.1209143176236536,93.15563422706089,51.03373231773667,919
10,25,70,-93.06697435997083,-2.2733825188889383,93.46159278398099,51.52542372881356,1180
10,25,65,-93.06697435997083,-2.2733825188889383,93.46159278398099,51.52542372881356,1180
10,25,75,-93.06697435997083,-2.2733825188889383,93.46159278398099,51.52542372881356,1180
12,30,75,-96.99666461967553,-2.6372363865554,97.16446498544293,50.49354593773728,1317
12,30,70,-96.99666461967553,-2.6372363865554,97.16446498544293,50.49354593773728,1317
12,30,65,-96.99666461967553,-2.6372363865554,97.16446498544293,50.49354593773728,1317
14,30,70,-97.01654949669386,-2.7087760240151177,97.2948188036571,48.646288209606986,1145
14,30,75,-97.01654949669386,-2.7087760240151177,97.2948188036571,48.646288209606986,1145
14,30,65,-97.01654949669386,-2.7087760240151177,97.2948188036571,48.646288209606986,1145
18,35,75,-97.01725243710949,-2.3908387210602897,97.3554334415723,52.22876366694701,1189
18,35,70,-97.01725243710949,-2.3908387210602897,97.3554334415723,52.22876366694701,1189
18,35,65,-97.01725243710949,-2.3908387210602897,97.3554334415723,52.22876366694701,1189
16,35,65,-98.05605872829386,-2.608003901821707,98.33600484102021,49.0594431903687,1329
16,35,70,-98.05605872829386,-2.608003901821707,98.33600484102021,49.0594431903687,1329
16,35,75,-98.05605872829386,-2.608003901821707,98.33600484102021,49.0594431903687,1329
10,30,75,-98.25379724551408,-2.8579293945035937,98.35107180801542,49.511002444987774,1636
10,30,70,-98.25379724551408,-2.8579293945035937,98.35107180801542,49.511002444987774,1636
10,30,65,-98.25379724551408,-2.8579293945035937,98.35107180801542,49.511002444987774,1636
14,35,75,-98.80162436525659,-2.866928102850845,98.86086378434264,50.128865979381445,1552
14,35,65,-98.80162436525659,-2.866928102850845,98.86086378434264,50.128865979381445,1552
14,35,70,-98.80162436525659,-2.866928102850845,98.86086378434264,50.128865979381445,1552
12,35,65,-98.88555697711811,-2.7923226266149013,98.9496069126026,49.52112676056338,1775
12,35,70,-98.88555697711811,-2.7923226266149013,98.9496069126026,49.52112676056338,1775
12,35,75,-98.88555697711811,-2.7923226266149013,98.9496069126026,49.52112676056338,1775
10,35,75,-99.56956542725035,-3.3473595695821388,99.59274158988876,48.048780487804876,2051
10,35,70,-99.56956542725035,-3.3473595695821388,99.59274158988876,48.048780487804876,2051
10,35,65,-99.56956542725035,-3.3473595695821388,99.59274158988876,48.048780487804876,2051
