,rsi,Buy & Hold
Start,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
End,2026-02-07 09:00:00+00:00,2026-02-07 09:00:00+00:00
Total Return [%],-91.34272801346263,46.0194731220741
Annualized Return [%],-44.92,9.67
Max Drawdown [%],91.83605423877046,67.37711687834668
Sharpe Ratio,-2.7426836174904854,0.43668987258573955
Sortino Ratio,-3.5872488786770544,0.6147730111540974
Calmar Ratio,-0.48891836571689157,0.1433787458868394
Win Rate [%],45.46279491833031,
Profit Factor,0.4936977443641062,
Total Trades,1102,1
Avg Winning Trade [%],0.4447364775783085,
Avg Losing Trade [%],-0.7645031992641186,
Max Drawdown Duration,1456 days 23:00:00,653 days 18:00:00
Expectancy,-8.28881379432511,
Alpha [%],-137.36220113553674,0.0
