,rsi_adx_atr_trailing,Buy & Hold
Start,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
End,2026-02-07 09:00:00+00:00,2026-02-07 09:00:00+00:00
Total Return [%],692.7159414021975,46.0194731220741
Annualized Return [%],65.64,9.67
Max Drawdown [%],15.916261991840486,67.37711687834668
Sharpe Ratio,2.718187983993741,0.43668987258573955
Sortino Ratio,4.446698031055983,0.6147730111540974
Calmar Ratio,4.120665760657285,0.1433787458868394
Win Rate [%],63.725490196078425,
Profit Factor,2.326079889949366,
Total Trades,510,1
Avg Winning Trade [%],1.1706343276822846,
Avg Losing Trade [%],-0.9065970763432925,
Max Drawdown Duration,93 days 01:00:00,653 days 18:00:00
Expectancy,135.8266551769014,
Alpha [%],646.6964682801233,0.0
